step,epoch_frac,phase,loss_total,loss_think,loss_response,lr,grad_norm,tokens_seen_B,tokens_per_sec,gpu_mem_gb,gpu_mem_reserved_gb,loss_weight_think,val_loss,time_elapsed_min,eta_min,timestamp
10,0.0005,pretrain,1.712407,0.0,1.686358,2e-06,0.3667,2.109088,246701.0,4.478,10.524,0.0,,0.35,628.9,2026-04-29 14:15:37
20,0.0011,pretrain,1.735238,0.0,1.575258,4e-06,0.373,2.109743,264914.2,4.478,10.524,0.0,,0.51,457.2,2026-04-29 14:15:46
30,0.0017,pretrain,1.824242,0.0,2.202043,6e-06,0.3673,2.110398,265401.1,4.478,10.524,0.0,,0.67,397.4,2026-04-29 14:15:56
40,0.0022,pretrain,1.590289,0.0,1.445984,8e-06,0.3675,2.111054,265211.7,4.478,10.524,0.0,,0.83,369.4,2026-04-29 14:16:06
50,0.0028,pretrain,1.68514,0.0,1.762993,1e-05,0.365,2.111709,264993.2,4.478,10.524,0.0,,0.99,351.0,2026-04-29 14:16:15
60,0.0034,pretrain,1.771092,0.0,1.789456,1.2e-05,0.3713,2.112365,265074.8,4.478,10.524,0.0,,1.15,339.7,2026-04-29 14:16:24
70,0.0039,pretrain,1.64958,0.0,1.840314,1.4e-05,0.3651,2.11302,265322.7,4.478,10.524,0.0,,1.3,330.7,2026-04-29 14:16:34
80,0.0045,pretrain,1.912802,0.0,2.376702,1.6e-05,0.3765,2.113675,265251.7,4.478,10.524,0.0,,1.46,324.8,2026-04-29 14:16:44
90,0.005,pretrain,1.694619,0.0,1.621135,1.8e-05,0.3682,2.114331,265615.8,4.478,10.524,0.0,,1.62,320.1,2026-04-29 14:16:53
100,0.0056,pretrain,1.608773,0.0,1.5675,2e-05,0.3713,2.114986,265528.5,4.478,10.524,0.0,,1.78,315.7,2026-04-29 14:17:03
110,0.0062,pretrain,1.724275,0.0,1.632964,2.2000000000000003e-05,0.3727,2.115641,265717.4,4.478,10.524,0.0,,1.94,312.6,2026-04-29 14:17:12
120,0.0067,pretrain,1.704973,0.0,2.011331,2.4e-05,0.3794,2.116297,265124.3,4.478,10.524,0.0,,2.1,309.5,2026-04-29 14:17:21
130,0.0073,pretrain,1.884689,0.0,1.6077,2.6000000000000002e-05,0.3782,2.116952,251595.5,4.478,10.524,0.0,,2.26,307.4,2026-04-29 14:17:31
140,0.0078,pretrain,1.556102,0.0,1.371285,2.8e-05,0.3688,2.117607,265382.7,4.478,10.524,0.0,,2.41,305.0,2026-04-29 14:17:41
150,0.0084,pretrain,1.647357,0.0,1.68782,3e-05,0.3755,2.118263,265111.7,4.478,10.524,0.0,,2.57,303.4,2026-04-29 14:17:50
160,0.009,pretrain,1.756482,0.0,1.504447,3.2e-05,0.3771,2.118918,265195.3,4.478,10.524,0.0,,2.73,301.6,2026-04-29 14:18:00
170,0.0095,pretrain,1.759558,0.0,1.659108,3.4e-05,0.382,2.119574,265736.4,4.478,10.524,0.0,,2.89,300.3,2026-04-29 14:18:09
180,0.0101,pretrain,1.818414,0.0,1.755464,3.6e-05,0.3799,2.120229,265431.4,4.478,10.524,0.0,,3.05,298.8,2026-04-29 14:18:19
190,0.0106,pretrain,1.679964,0.0,1.879239,3.8e-05,0.3752,2.120884,253319.6,4.478,10.524,0.0,,3.21,297.8,2026-04-29 14:18:28
200,0.0112,pretrain,1.812875,0.0,2.155425,4e-05,0.3832,2.12154,265220.7,4.478,10.524,0.0,,3.36,296.5,2026-04-29 14:18:38
210,0.0118,pretrain,1.784204,0.0,1.54864,4.2000000000000004e-05,0.3751,2.122195,264943.3,4.478,10.524,0.0,,3.52,295.7,2026-04-29 14:18:47
220,0.0123,pretrain,1.821697,0.0,1.745203,4.4000000000000006e-05,0.3815,2.12285,263711.5,4.478,10.524,0.0,,3.68,294.7,2026-04-29 14:18:57
230,0.0129,pretrain,1.710213,0.0,1.560114,4.6e-05,0.3783,2.123506,252824.5,4.478,10.524,0.0,,3.84,294.0,2026-04-29 14:19:06
240,0.0134,pretrain,1.718016,0.0,1.485102,4.8e-05,0.3837,2.124161,265492.7,4.478,10.524,0.0,,4.0,293.0,2026-04-29 14:19:16
250,0.014,pretrain,1.727818,0.0,1.205,5e-05,0.3798,2.124816,265054.2,4.478,10.524,0.0,,4.15,292.2,2026-04-29 14:19:25
260,0.0146,pretrain,1.885878,0.0,2.006237,5.2000000000000004e-05,0.3839,2.125472,265336.9,4.478,10.524,0.0,,4.32,291.6,2026-04-29 14:19:35
270,0.0151,pretrain,1.709316,0.0,1.689005,5.4e-05,0.4383,2.126127,265844.6,4.478,10.524,0.0,,4.48,291.1,2026-04-29 14:19:44
280,0.0157,pretrain,1.828464,0.0,1.950142,5.6e-05,0.3922,2.126782,265327.5,4.478,10.524,0.0,,4.63,290.3,2026-04-29 14:19:54
290,0.0163,pretrain,1.617584,0.0,1.450987,5.8e-05,0.3807,2.127438,266023.3,4.478,10.524,0.0,,4.79,289.8,2026-04-29 14:20:03
300,0.0168,pretrain,1.525216,0.0,1.571253,6e-05,0.3791,2.128093,266001.8,4.478,10.524,0.0,,4.95,289.1,2026-04-29 14:20:13
310,0.0174,pretrain,1.813114,0.0,1.769341,6.2e-05,0.3967,2.128749,265558.2,4.478,10.524,0.0,,5.11,288.6,2026-04-29 14:20:22
320,0.0179,pretrain,1.663567,0.0,1.544946,6.4e-05,0.3891,2.129404,251727.1,4.478,10.524,0.0,,5.27,288.2,2026-04-29 14:20:32
330,0.0185,pretrain,1.767742,0.0,1.937634,6.6e-05,0.3895,2.130059,265725.2,4.478,10.524,0.0,,5.42,287.6,2026-04-29 14:20:41
340,0.0191,pretrain,1.642761,0.0,1.378223,6.8e-05,0.3942,2.130715,265377.0,4.478,10.524,0.0,,5.58,287.3,2026-04-29 14:20:51
350,0.0196,pretrain,1.827172,0.0,1.868867,7.000000000000001e-05,0.4016,2.13137,265340.9,4.478,10.524,0.0,,5.74,286.7,2026-04-29 14:21:00
360,0.0202,pretrain,1.662342,0.0,1.90531,7.2e-05,0.3956,2.132025,252266.2,4.478,10.524,0.0,,5.9,286.4,2026-04-29 14:21:10
370,0.0207,pretrain,1.757598,0.0,1.554793,7.400000000000001e-05,0.3895,2.132681,265619.5,4.478,10.524,0.0,,6.06,285.9,2026-04-29 14:21:19
380,0.0213,pretrain,1.764941,0.0,2.007447,7.6e-05,0.3939,2.133336,265096.1,4.478,10.524,0.0,,6.22,285.5,2026-04-29 14:21:29
390,0.0219,pretrain,1.786787,0.0,2.009482,7.8e-05,0.3948,2.133991,265294.0,4.478,10.524,0.0,,6.37,285.0,2026-04-29 14:21:38
400,0.0224,pretrain,1.6222,0.0,1.369817,8e-05,0.39,2.134647,265604.3,4.478,10.524,0.0,,6.54,284.7,2026-04-29 14:21:48
410,0.023,pretrain,1.755772,0.0,2.041554,8.2e-05,0.3977,2.135302,253289.2,4.478,10.524,0.0,,6.69,284.4,2026-04-29 14:21:57
420,0.0235,pretrain,1.668046,0.0,1.835672,8.400000000000001e-05,0.3944,2.135958,265538.6,4.478,10.524,0.0,,6.85,284.0,2026-04-29 14:22:07
430,0.0241,pretrain,1.767211,0.0,1.857999,8.6e-05,0.3977,2.136613,265698.0,4.478,10.524,0.0,,7.01,283.7,2026-04-29 14:22:16
440,0.0247,pretrain,1.759922,0.0,1.85503,8.800000000000001e-05,0.3899,2.137268,265505.9,4.478,10.524,0.0,,7.17,283.3,2026-04-29 14:22:26
450,0.0252,pretrain,1.710902,0.0,1.718766,9e-05,0.389,2.137924,265473.3,4.478,10.524,0.0,,7.33,283.0,2026-04-29 14:22:35
460,0.0258,pretrain,1.692958,0.0,1.83848,9.2e-05,0.3986,2.138579,265213.1,4.478,10.524,0.0,,7.48,282.6,2026-04-29 14:22:45
470,0.0263,pretrain,1.656367,0.0,1.617694,9.4e-05,0.4025,2.139234,265218.0,4.478,10.524,0.0,,7.64,282.3,2026-04-29 14:22:54
480,0.0269,pretrain,1.809094,0.0,1.898424,9.6e-05,0.394,2.13989,265092.4,4.478,10.524,0.0,,7.8,281.9,2026-04-29 14:23:04
490,0.0275,pretrain,1.783615,0.0,1.534332,9.800000000000001e-05,0.3954,2.140545,265298.3,4.478,10.524,0.0,,7.96,281.7,2026-04-29 14:23:13
500,0.028,pretrain,1.644867,0.0,1.281031,0.0001,0.4004,2.1412,265571.6,4.478,10.524,0.0,,8.12,281.3,2026-04-29 14:23:23
510,0.0286,pretrain,1.699582,0.0,1.479784,9.999992605051717e-05,0.395,2.141856,265376.2,4.478,10.524,0.0,,8.62,292.8,2026-04-29 14:23:53
520,0.0292,pretrain,1.750857,0.0,1.968461,9.999970420231171e-05,0.3963,2.142511,265407.6,4.478,10.524,0.0,,8.78,292.3,2026-04-29 14:24:03
530,0.0297,pretrain,1.682542,0.0,1.911732,9.999933445611276e-05,0.4036,2.143166,265236.9,4.478,10.524,0.0,,8.94,291.8,2026-04-29 14:24:12
540,0.0303,pretrain,1.574344,0.0,1.734575,9.999881681313553e-05,0.3901,2.143822,265304.4,4.478,10.524,0.0,,9.1,291.3,2026-04-29 14:24:22
550,0.0308,pretrain,1.686443,0.0,1.642974,9.999815127508137e-05,0.3914,2.144477,265545.6,4.478,10.524,0.0,,9.26,290.9,2026-04-29 14:24:31
560,0.0314,pretrain,1.743661,0.0,1.729768,9.999733784413763e-05,0.3948,2.145133,265232.6,4.478,10.524,0.0,,9.42,290.4,2026-04-29 14:24:41
570,0.032,pretrain,1.738773,0.0,1.986284,9.999637652297778e-05,0.3956,2.145788,252359.4,4.478,10.524,0.0,,9.58,290.0,2026-04-29 14:24:50
580,0.0325,pretrain,1.698359,0.0,1.858768,9.999526731476134e-05,0.393,2.146443,265693.2,4.478,10.524,0.0,,9.73,289.4,2026-04-29 14:25:00
590,0.0331,pretrain,1.801998,0.0,1.722943,9.999401022313387e-05,0.3984,2.147099,263548.1,4.478,10.524,0.0,,9.89,289.1,2026-04-29 14:25:09
600,0.0336,pretrain,1.885275,0.0,1.722404,9.999260525222699e-05,0.4109,2.147754,265348.6,4.478,10.524,0.0,,10.05,288.6,2026-04-29 14:25:19
610,0.0342,pretrain,1.768169,0.0,1.702853,9.999105240665834e-05,0.4012,2.148409,265488.0,4.478,10.524,0.0,,10.21,288.2,2026-04-29 14:25:28
620,0.0348,pretrain,1.744254,0.0,1.416084,9.998935169153159e-05,0.3938,2.149065,265417.5,4.478,10.524,0.0,,10.37,287.8,2026-04-29 14:25:38
630,0.0353,pretrain,1.725612,0.0,1.420374,9.998750311243635e-05,0.3934,2.14972,252732.5,4.478,10.524,0.0,,10.53,287.4,2026-04-29 14:25:47
640,0.0359,pretrain,1.868148,0.0,2.07288,9.998550667544826e-05,0.3974,2.150375,252526.9,4.478,10.524,0.0,,10.69,287.0,2026-04-29 14:25:57
650,0.0364,pretrain,1.933399,0.0,1.905166,9.998336238712887e-05,0.3987,2.151031,265380.1,4.478,10.524,0.0,,10.84,286.6,2026-04-29 14:26:06
660,0.037,pretrain,1.773814,0.0,1.435013,9.998107025452575e-05,0.3948,2.151686,252946.3,4.478,10.524,0.0,,11.0,286.3,2026-04-29 14:26:16
670,0.0376,pretrain,1.832927,0.0,1.962077,9.997863028517228e-05,0.396,2.152342,265602.3,4.478,10.524,0.0,,11.16,285.8,2026-04-29 14:26:25
680,0.0381,pretrain,1.60728,0.0,1.194372,9.997604248708776e-05,0.398,2.152997,265829.8,4.478,10.524,0.0,,11.32,285.4,2026-04-29 14:26:35
690,0.0387,pretrain,1.845499,0.0,1.936451,9.997330686877739e-05,0.3987,2.153652,253932.4,4.478,10.524,0.0,,11.48,285.1,2026-04-29 14:26:44
