step,epoch_frac,phase,loss_total,loss_think,loss_response,lr,grad_norm,tokens_seen_B,tokens_per_sec,gpu_mem_gb,gpu_mem_reserved_gb,loss_weight_think,val_loss,time_elapsed_min,eta_min,timestamp
10,0.0281,sft,1.985327,1.041755,3.381339,2e-06,3.8512,3.278127,288482.6,4.478,15.752,0.5,,0.47,32.1,2026-05-01 08:36:39
20,0.057,sft,1.973408,0.132573,3.043992,4e-06,2.967,3.279438,300708.0,4.478,15.752,0.5,,0.75,25.4,2026-05-01 08:36:56
30,0.0859,sft,1.609025,0.014427,2.470372,6e-06,1.7229,3.280749,300808.9,4.478,15.752,0.5,,1.04,23.0,2026-05-01 08:37:13
40,0.1147,sft,1.372828,0.004284,2.663678,8e-06,0.9869,3.282059,291490.4,4.478,15.752,0.5,,1.32,21.6,2026-05-01 08:37:31
50,0.1436,sft,1.591092,0.027703,2.07646,1e-05,0.8455,3.28337,300464.0,4.478,15.752,0.5,,1.61,20.7,2026-05-01 08:37:48
60,0.1724,sft,1.662107,0.002969,3.372847,1.2e-05,0.8545,3.284681,300867.8,4.478,15.752,0.5,,1.89,20.0,2026-05-01 08:38:05
70,0.2013,sft,1.276735,0.00352,2.731235,1.4e-05,0.8695,3.285991,300806.8,4.478,15.752,0.5,,2.18,19.4,2026-05-01 08:38:22
80,0.2302,sft,1.678526,0.003238,2.410348,1.6e-05,0.9117,3.287302,300788.4,4.478,15.752,0.5,,2.46,18.9,2026-05-01 08:38:39
90,0.259,sft,1.162594,0.056689,1.792606,1.8e-05,0.7242,3.288613,294560.5,4.478,15.752,0.5,,2.74,18.4,2026-05-01 08:38:56
100,0.2879,sft,1.46149,0.0068,2.566009,2e-05,1.5062,3.289924,300820.0,4.478,15.752,0.5,,3.03,18.0,2026-05-01 08:39:13
110,0.3167,sft,1.208614,0.013094,2.437008,2.2000000000000003e-05,0.7611,3.291234,300718.7,4.478,15.752,0.5,,3.31,17.6,2026-05-01 08:39:30
120,0.3456,sft,1.401743,0.00659,2.091166,2.4e-05,0.9993,3.292545,294308.1,4.478,15.752,0.5,,3.6,17.2,2026-05-01 08:39:47
130,0.3745,sft,1.365213,0.000907,2.46537,2.6000000000000002e-05,1.0671,3.293856,300828.2,4.478,15.752,0.5,,3.88,16.8,2026-05-01 08:40:04
140,0.4033,sft,1.259172,0.007914,1.899306,2.8e-05,1.0557,3.295166,294823.4,4.478,15.752,0.5,,4.16,16.5,2026-05-01 08:40:21
150,0.4322,sft,1.511712,0.00711,2.624059,3e-05,0.9044,3.296477,300637.8,4.478,15.752,0.5,,4.45,16.1,2026-05-01 08:40:38
160,0.461,sft,1.373129,0.005068,1.957299,3.2e-05,0.8857,3.297788,300765.1,4.478,15.752,0.5,,4.73,15.8,2026-05-01 08:40:55
170,0.4899,sft,1.259047,0.001498,2.338995,3.4e-05,0.8177,3.299099,300694.2,4.478,15.752,0.5,,5.02,15.5,2026-05-01 08:41:12
180,0.5188,sft,1.148873,0.006835,1.916428,3.6e-05,0.8461,3.300409,300702.3,4.478,15.752,0.5,,5.3,15.1,2026-05-01 08:41:29
190,0.5476,sft,1.25575,0.004978,2.013222,3.8e-05,0.7215,3.30172,300481.9,4.478,15.752,0.5,,5.58,14.8,2026-05-01 08:41:46
200,0.5765,sft,1.200929,0.008842,2.483866,4e-05,0.7352,3.303031,300978.3,4.478,15.752,0.5,,5.87,14.5,2026-05-01 08:42:03
